Temps;Tension;Vitesse_moteur
0;0;0
10;21.1;49
21;21.1;113
35;21.1;161
48;21.1;197
62;21.1;226
74;21.1;242
89;21.1;257
101;21.1;268
115;21.1;277
128;21.1;285
142;21.1;289
154;21.1;293
167;21.1;294
181;21.1;295
194;21.1;295
208;21.1;298
220;21.1;298
234;21.1;299
247;21.1;303
261;21.1;299
274;21.1;299
286;21.1;300
300;21.1;301
313;21.1;303
327;21.1;305
339;21.1;311
354;21.1;308
366;21.1;308
380;21.1;311
393;21.1;311
407;21.1;312
419;21.1;312
432;21.1;312
446;21.1;312
459;21.1;312
473;21.1;312
485;18.9;312
