Nom;Position;Consigne variateur
0;0;0
0.02;0.71;127
0.04;3.49;127
0.06;7.42;127
0.08;11.08;127
0.1;15.74;127
0.12;20.75;127
0.14;26.03;127
0.16;31.46;127
0.18;36.93;127
0.2;42.39;127
0.22;47.88;127
0.24;53.36;127
0.26;58.92;127
0.28;64.47;127
0.3;70.03;127
0.32;75.59;127
0.34;81.16;127
0.36;86.76;127
0.38;92.41;127
0.4;98.06;127
0.42;103.72;127
0.44;109.43;127
0.46;115.14;127
0.48;120.82;127
0.5;126.54;127
0.52;132.32;127
0.54;138.16;127
0.56;143.96;127
0.58;150.08;13
0.6;154.91;-128
0.62;156.12;-128
0.64;155.72;-128
0.66;154.92;-128
0.68;152.69;-87
0.7;149.57;4
0.72;147.14;77
0.74;147.01;88
0.76;148.4;49
0.78;148.93;31
0.8;149.28;21
0.82;149.85;5
0.84;150.42;-11
0.86;150.79;-23
0.88;150.8;-24
0.9;150.55;-17
0.92;150.2;-7
0.94;149.91;1
0.96;149.71;7
0.98;149.62;10
1;149.64;10
1.02;149.66;9
1.04;149.69;8
1.06;149.72;8
1.08;149.72;7
1.1;149.72;7
1.12;149.74;7
1.14;149.78;6
1.16;149.78;5
1.18;149.79;5
1.2;149.81;5
1.22;149.85;4
1.24;149.87;3
1.26;149.87;3
1.28;149.87;3
1.3;149.87;3
1.32;149.87;3
1.34;149.87;3
1.36;149.87;3
1.38;149.87;3
1.4;149.87;3
1.42;149.87;3
1.44;149.87;3
1.46;149.87;3
1.48;149.87;3
1.5;149.87;3
1.52;149.87;3
1.54;149.87;3
1.56;149.87;3
1.58;149.87;3
1.6;149.87;3
1.62;149.87;3
1.64;149.87;3
1.66;149.87;3
1.68;149.87;3
1.7;149.87;3
1.72;149.87;3
1.74;149.87;3
1.76;149.87;3
1.78;149.87;3
1.8;149.87;3
1.82;149.87;3
1.84;149.87;3
1.86;149.87;3
1.88;149.87;3
1.9;149.87;3
1.92;149.87;3
1.94;149.87;3
1.96;149.87;3
1.98;149.87;3
