Temps;Position;Vitesse;Consigne variateur
0;0;0;127
0.01;0.26;51.13;127
0.02;0.63;74;127
0.03;1.11;95.53;127
0.04;1.71;118.4;127
0.05;2.42;139.93;127
0.06;3.24;162.8;127
0.07;4.16;181.64;127
0.08;5.12;191.06;127
0.09;6.04;181.64;127
0.1;6.86;161.46;127
0.11;7.6;146.66;127
0.12;8.35;149.35;127
0.13;9.15;158.77;127
0.14;10.04;174.91;127
0.15;10.97;185.68;127
0.16;11.97;197.79;127
0.17;13.02;207.21;127
0.18;14.09;212.59;127
0.19;15.2;219.32;127
0.2;16.32;222.01;127
0.21;17.45;223.35;127
0.22;18.59;226.04;127
0.23;19.74;227.39;127
0.24;20.91;231.43;127
0.25;22.09;232.77;127
0.26;23.28;236.81;127
0.27;24.49;239.5;127
0.28;25.71;242.19;127
0.29;26.94;243.53;127
0.3;28.18;244.88;127
0.31;29.42;244.88;127
0.32;30.66;246.23;127
0.33;31.9;244.88;127
0.34;33.13;244.88;127
0.35;34.38;246.23;127
0.36;35.62;246.23;127
0.37;36.87;247.57;127
0.38;38.12;247.57;127
0.39;39.37;246.23;127
0.4;40.6;244.88;127
0.41;41.84;244.88;127
0.42;43.08;244.88;127
0.43;44.32;246.23;127
0.44;45.57;247.57;127
0.45;46.83;248.92;127
0.46;48.08;247.57;127
0.47;49.32;246.23;127
0.48;50.56;246.23;127
0.49;51.81;246.23;127
0.5;53.06;247.57;127
0.51;54.32;248.92;127
0.52;55.58;250.26;127
0.53;56.85;251.61;127
0.54;58.11;250.26;127
0.55;59.38;250.26;127
0.56;60.64;248.92;127
0.57;61.89;248.92;127
0.58;63.16;250.26;127
0.59;64.42;250.26;127
0.6;65.68;250.26;127
0.61;66.96;251.61;127
0.62;68.22;250.26;127
0.63;69.48;250.26;127
0.64;70.74;248.92;127
0.65;71.99;247.57;127
0.66;73.25;250.26;127
0.67;74.51;248.92;127
0.68;75.77;248.92;127
0.69;77.04;251.61;127
0.7;78.3;248.92;127
0.71;79.55;248.92;127
0.72;80.81;248.92;127
0.73;82.08;250.26;127
0.74;83.34;250.26;127
0.75;84.61;251.61;127
0.76;85.88;251.61;127
0.77;87.17;254.3;127
0.78;88.44;252.95;127
0.79;89.73;254.3;127
0.8;91;252.95;127
0.81;92.29;254.3;127
0.82;93.57;252.95;127
0.83;94.84;252.95;127
0.84;96.13;254.3;127
0.85;97.41;252.95;127
0.86;98.69;254.3;127
0.87;99.97;254.3;127
0.88;101.25;252.95;127
0.89;102.54;255.64;127
0.9;103.83;254.3;127
0.91;105.13;256.99;127
0.92;106.42;255.64;127
0.93;107.72;258.34;127
0.94;109.02;256.99;127
0.95;110.31;255.64;127
0.96;111.6;255.64;127
0.97;112.89;255.64;127
0.98;114.18;255.64;0
0.99;115.46;252.95;0
