(tr/min)3;(tr/min)3
Temps(s);Effort ressort(N)
0;2.850522
0.02;-0.04539
0.04;-0.04539
0.06;0.437262
0.08;2.850522
0.1;0.195936
0.12;-0.04539
0.14;0.195936
0.16;2.850522
0.18;0.195936
0.2;-0.04539
0.22;0.195936
0.24;6.711738
0.26;10.331628
0.28;15.6408
0.3;20.949972
0.32;29.879034
0.34;33.257598
0.36;38.808096
0.38;43.393289
0.4;51.357047
0.42;53.046329
0.44;57.390197
0.46;61.010087
0.48;66.801911
0.5;68.732519
0.52;71.628431
0.54;74.041691
0.56;82.005449
0.58;81.522797
0.6;84.177383
0.62;89.003902
0.64;95.278378
0.66;96.243682
0.68;99.38092
0.7;103.242136
0.72;110.481916
0.74;112.412524
0.76;114.584458
0.78;120.376282
0.8;125.444128
0.82;128.34004
0.84;130.270648
0.86;134.131864
0.88;137.510428
0.9;141.854295
0.92;143.784903
0.94;148.611423
0.96;148.128771
0.98;155.127225
1;152.231313
1.02;153.920595
1.04;156.092529
1.06;159.229767
1.08;157.299159
1.1;158.747115
1.12;158.023137
1.14;157.781811
1.16;157.057833
1.18;156.092529
1.2;155.609877
1.22;157.781811
1.24;155.127225
1.26;155.127225
1.28;155.609877
1.3;158.264463
1.32;156.575181
1.34;156.575181
1.36;156.816507
1.38;159.712419
1.4;157.299159
1.42;157.781811
1.44;157.781811
1.46;157.057833
1.48;156.092529
1.5;155.368551
1.52;155.127225
1.54;157.299159
1.56;155.609877
1.58;155.851203
1.6;156.333855
1.62;159.471093
1.64;157.299159
1.66;158.264463
1.68;158.264463
1.7;158.023137
1.72;157.057833
1.74;156.333855
1.76;155.609877
1.78;157.057833
1.8;155.851203
1.82;156.092529
1.84;156.816507
1.86;159.712419
1.88;158.264463
1.9;158.023137
1.92;157.299159
1.94;156.575181
1.96;155.851203
1.98;155.368551
2;155.609877
2.02;157.781811
2.04;158.264463
2.06;158.023137
2.08;158.023137
2.1;157.299159
2.12;156.575181
2.14;155.851203
2.16;155.368551
2.18;156.575181
2.2;157.540485
2.22;156.575181
2.24;157.057833
2.26;158.023137
2.28;157.540485
2.3;157.540485
2.32;157.299159
2.34;157.299159
2.36;158.023137
2.38;157.057833
2.4;157.057833
2.42;158.023137
2.44;158.023137
2.46;157.781811
2.48;157.057833
2.5;156.575181
2.52;156.333855
2.54;156.092529
2.56;156.092529
2.58;157.057833
2.6;160.195071
2.62;158.023137
2.64;158.023137
2.66;158.023137
2.68;157.299159
2.7;156.816507
2.72;156.575181
2.74;156.575181
2.76;159.712419
2.78;157.299159
2.8;157.781811
2.82;157.781811
2.84;157.540485
2.86;156.816507
2.88;156.333855
2.9;156.092529
2.92;158.505789
2.94;156.092529
2.96;157.057833
2.98;158.023137
3;158.505789
3.02;158.264463
3.04;158.023137
3.06;157.781811
3.08;157.299159
3.1;156.816507
3.12;156.575181
3.14;156.575181
3.16;158.747115
3.18;157.299159
3.2;158.023137
3.22;158.023137
3.24;157.540485
3.26;156.575181
3.28;155.851203
3.3;155.368551
3.32;157.781811
3.34;156.575181
3.36;157.057833
3.38;158.023137
3.4;158.023137
3.42;158.023137
3.44;158.023137
3.46;158.023137
3.48;158.023137
3.5;158.023137
3.52;157.781811
3.54;158.023137
3.56;157.781811
3.58;157.781811
3.6;157.781811
3.62;157.540485
3.64;157.540485
3.66;157.540485
3.68;157.540485
3.7;157.299159
3.72;157.299159
3.74;157.299159
3.76;157.299159
3.78;157.299159
3.8;157.299159
3.82;157.299159
3.84;157.299159
3.86;157.057833
3.88;158.023137
3.9;157.540485
3.92;157.781811
3.94;157.781811
3.96;157.299159
3.98;156.575181
4;156.092529
4.02;155.851203
4.04;156.816507
4.06;158.505789
4.08;157.299159
4.1;157.540485
4.12;157.299159
4.14;157.057833
4.16;156.333855
4.18;155.851203
4.2;155.609877
4.22;155.851203
4.24;155.609877
4.26;155.609877
4.28;155.609877
4.3;155.851203
4.32;155.368551
4.34;155.609877
4.36;155.368551
4.38;155.368551
4.4;155.368551
4.42;155.368551
4.44;155.127225
4.46;155.609877
4.48;148.370097
4.5;144.026229
4.52;143.543577
4.54;130.270648
4.56;120.617608
4.58;112.412524
4.6;100.346224
4.62;88.279925
4.64;75.248321
4.66;67.043237
4.68;56.907545
4.7;47.495831
4.72;38.56677
4.74;33.498924
4.76;25.052514
4.78;18.778038
4.8;12.503562
4.82;8.159694
4.84;3.815826
4.86;0.678588
4.88;-0.04539
4.9;1.16124
4.92;1.16124
4.94;0.437262
4.96;-0.04539
4.98;0.919914
5;0.678588
